year,id_,marital,relig,satjob,rank,scigrn,
2021,86,Never married,Catholic,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,88,Never married,Catholic,A little dissatisfied,5,DISAGREE,
2021,89,Divorced,Protestant,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,90,Never married,Protestant,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,91,Never married,Protestant,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,92,Never married,Catholic,Moderately satisfied,4,DISAGREE,
2021,93,Married,Catholic,.n:  No answer,.i:  Inapplicable,.i:  Inapplicable,
2021,94,Married,None,Moderately satisfied,2,DISAGREE,
2021,95,Married,Catholic,Very satisfied,4,DISAGREE,
2021,96,Married,Catholic,Moderately satisfied,6,NEITHER AGREE NOR DISAGREE,
2021,97,Never married,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,98,Widowed,.n:  No answer,Moderately satisfied,4,AGREE,
2021,99,Separated,Protestant,Very satisfied,5,NEITHER AGREE NOR DISAGREE,
2021,100,Married,Orthodox-christian,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,101,Divorced,Catholic,.i:  Inapplicable,5,DISAGREE,
2021,102,Married,Jewish,.i:  Inapplicable,3,DISAGREE,
2021,103,Married,Protestant,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,104,Married,Protestant,Very satisfied,3,DISAGREE,
2021,105,Divorced,Protestant,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,106,Married,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,107,Never married,None,A little dissatisfied,4,NEITHER AGREE NOR DISAGREE,
2021,108,Married,Protestant,Very satisfied,3,NEITHER AGREE NOR DISAGREE,
2021,109,Married,Catholic,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,111,Married,Protestant,Moderately satisfied,4,AGREE,
2021,113,Divorced,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,114,Widowed,Catholic,Very satisfied,5,DISAGREE,
2021,115,Married,Catholic,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,116,Never married,None,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,117,Married,Hinduism,Very satisfied,2,STRONGLY DISAGREE,
2021,118,Married,None,Very satisfied,2,DISAGREE,
2021,119,Married,Jewish,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,120,Never married,Protestant,Very satisfied,5,NEITHER AGREE NOR DISAGREE,
2021,121,Married,None,.i:  Inapplicable,3,AGREE,
2021,122,Never married,None,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,123,Never married,Protestant,Moderately satisfied,1 - top,NEITHER AGREE NOR DISAGREE,
2021,124,Married,None,Moderately satisfied,4,STRONGLY DISAGREE,
2021,125,Never married,Orthodox-christian,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,126,Married,Orthodox-christian,.s:  Skipped on Web,.s:  Skipped on Web,.n:  No answer,
2021,127,Married,Catholic,Moderately satisfied,4,.n:  No answer,
2021,128,Married,Catholic,Very satisfied,5,NEITHER AGREE NOR DISAGREE,
2021,130,Widowed,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,131,Widowed,Protestant,.i:  Inapplicable,4,DISAGREE,
2021,132,Separated,Protestant,Very satisfied,5,DISAGREE,
2021,135,Married,None,.i:  Inapplicable,3,STRONGLY DISAGREE,
2021,136,Married,None,Moderately satisfied,5,NEITHER AGREE NOR DISAGREE,
2021,137,Divorced,Protestant,Very satisfied,5,.n:  No answer,
2021,138,Married,Protestant,Very satisfied,5,DISAGREE,
2021,139,Never married,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,140,Never married,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,142,Never married,None,Very dissatisfied,5,DISAGREE,
2021,143,Married,Catholic,Very satisfied,3,AGREE,
2021,144,Married,Catholic,Very satisfied,2,NEITHER AGREE NOR DISAGREE,
2021,145,Married,None,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,146,Married,Jewish,Very satisfied,2,STRONGLY DISAGREE,
2021,147,Never married,None,Moderately satisfied,4,AGREE,
2021,148,Never married,Protestant,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,149,Married,Protestant,.i:  Inapplicable,5,DISAGREE,
2021,150,Never married,Catholic,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,151,Never married,Protestant,.i:  Inapplicable,6,NEITHER AGREE NOR DISAGREE,
2021,152,Married,Catholic,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,153,Married,Catholic,Very satisfied,3,NEITHER AGREE NOR DISAGREE,
2021,154,Divorced,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,155,Married,Protestant,Moderately satisfied,5,DISAGREE,
2021,156,Widowed,Catholic,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,158,Married,None,.i:  Inapplicable,2,DISAGREE,
2021,159,Divorced,None,Very satisfied,5,NEITHER AGREE NOR DISAGREE,
2021,160,Married,Catholic,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,161,Married,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,162,Married,Catholic,.i:  Inapplicable,3,STRONGLY DISAGREE,
2021,163,Married,Catholic,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,164,Never married,None,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,165,Divorced,Protestant,Very satisfied,7,STRONGLY DISAGREE,
2021,166,Never married,None,A little dissatisfied,4,DISAGREE,
2021,167,Married,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,168,Married,None,A little dissatisfied,3,AGREE,
2021,169,Divorced,Christian,Very satisfied,5,DISAGREE,
2021,170,Married,Catholic,A little dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,171,Married,Orthodox-christian,A little dissatisfied,3,.d:  Do not Know/Cannot Choose,
2021,172,Divorced,Other,A little dissatisfied,5,STRONGLY DISAGREE,
2021,173,Married,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,174,Married,None,Very satisfied,1 - top,.n:  No answer,
2021,175,Divorced,None,Very satisfied,5,DISAGREE,
2021,176,Married,Jewish,Very satisfied,2,DISAGREE,
2021,177,Married,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,179,Married,Catholic,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,181,Divorced,None,Very satisfied,4,DISAGREE,
2021,182,Never married,None,.i:  Inapplicable,.s:  Skipped on Web,.d:  Do not Know/Cannot Choose,
2021,183,Divorced,Protestant,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,184,Married,Catholic,.s:  Skipped on Web,1 - top,NEITHER AGREE NOR DISAGREE,
2021,185,Never married,None,A little dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,187,Divorced,Protestant,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,188,Married,Protestant,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,189,Married,Protestant,Very satisfied,5,DISAGREE,
2021,190,Widowed,Catholic,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,192,Married,Protestant,Very satisfied,5,NEITHER AGREE NOR DISAGREE,
2021,194,Married,Protestant,Very satisfied,.s:  Skipped on Web,DISAGREE,
2021,195,Married,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,196,Married,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,198,Never married,None,Very dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,199,Married,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,201,Married,Hinduism,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,202,Divorced,Catholic,.i:  Inapplicable,3,DISAGREE,
2021,203,Married,Protestant,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,205,Never married,Other,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,206,Never married,Muslim/islam,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,207,Never married,Christian,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,208,Widowed,Christian,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,209,Married,Protestant,.i:  Inapplicable,4,.n:  No answer,
2021,210,Divorced,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,211,Married,Protestant,Very satisfied,3,NEITHER AGREE NOR DISAGREE,
2021,213,Never married,Protestant,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,214,Never married,Protestant,Moderately satisfied,5,NEITHER AGREE NOR DISAGREE,
2021,215,Divorced,None,.s:  Skipped on Web,6,DISAGREE,
2021,216,Married,Protestant,.i:  Inapplicable,5,DISAGREE,
2021,217,Never married,None,Very satisfied,5,.n:  No answer,
2021,218,Married,Catholic,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,219,Married,Hinduism,Moderately satisfied,5,NEITHER AGREE NOR DISAGREE,
2021,220,Never married,Protestant,A little dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,221,Divorced,Protestant,Moderately satisfied,6,.n:  No answer,
2021,222,Never married,Protestant,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,223,Divorced,Protestant,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,224,Divorced,Protestant,Moderately satisfied,4,AGREE,
2021,225,Married,Catholic,Very dissatisfied,10 - bottom,AGREE,
2021,226,Never married,Protestant,Moderately satisfied,7,DISAGREE,
2021,227,Widowed,Inter-nondenominational,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,229,Never married,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,230,Never married,Muslim/islam,Moderately satisfied,4,NEITHER AGREE NOR DISAGREE,
2021,231,Married,Catholic,.i:  Inapplicable,4,AGREE,
2021,232,Never married,Catholic,A little dissatisfied,6,NEITHER AGREE NOR DISAGREE,
2021,233,Married,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,234,Separated,Hinduism,Very dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,235,Divorced,Catholic,Moderately satisfied,4,NEITHER AGREE NOR DISAGREE,
2021,236,Married,Catholic,.i:  Inapplicable,2,DISAGREE,
2021,237,Married,Protestant,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,238,Married,Protestant,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,239,Married,Protestant,.i:  Inapplicable,3,AGREE,
2021,240,Widowed,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,241,Married,Protestant,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,242,Married,None,A little dissatisfied,4,STRONGLY DISAGREE,
2021,243,Married,Catholic,Very satisfied,2,.d:  Do not Know/Cannot Choose,
2021,244,Never married,Catholic,A little dissatisfied,4,NEITHER AGREE NOR DISAGREE,
2021,245,Widowed,Christian,.i:  Inapplicable,1 - top,STRONGLY AGREE,
2021,246,Married,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,247,Married,None,Very dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,248,Never married,None,.i:  Inapplicable,5,.d:  Do not Know/Cannot Choose,
2021,250,Separated,.s:  Skipped on Web,Moderately satisfied,5,.d:  Do not Know/Cannot Choose,
2021,253,Divorced,Catholic,Very satisfied,1 - top,STRONGLY AGREE,
2021,254,Widowed,Protestant,Very satisfied,2,NEITHER AGREE NOR DISAGREE,
2021,255,Married,Catholic,Moderately satisfied,4,NEITHER AGREE NOR DISAGREE,
2021,256,Married,Protestant,Very satisfied,3,DISAGREE,
2021,257,Never married,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,258,Married,Hinduism,Very satisfied,4,.d:  Do not Know/Cannot Choose,
2021,259,Never married,Muslim/islam,Very satisfied,6,AGREE,
2021,260,Married,None,Very satisfied,5,.d:  Do not Know/Cannot Choose,
2021,261,Divorced,Catholic,.n:  No answer,3,DISAGREE,
2021,262,Married,Protestant,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,263,Divorced,Catholic,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,264,Divorced,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,265,Married,Protestant,Moderately satisfied,5,DISAGREE,
2021,266,Divorced,Protestant,Very satisfied,5,DISAGREE,
2021,267,Divorced,Protestant,A little dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,268,Married,Catholic,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,269,Divorced,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,270,Never married,Catholic,A little dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,271,Married,Muslim/islam,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,272,Never married,None,Moderately satisfied,5,.d:  Do not Know/Cannot Choose,
2021,273,Married,Protestant,Very satisfied,5,DISAGREE,
2021,274,Never married,Protestant,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,275,Divorced,Christian,Moderately satisfied,3,DISAGREE,
2021,276,Widowed,Protestant,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,277,Married,Protestant,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,278,Married,Protestant,.i:  Inapplicable,2,DISAGREE,
2021,279,Married,Protestant,Moderately satisfied,3,DISAGREE,
2021,280,Divorced,None,.i:  Inapplicable,5,NEITHER AGREE NOR DISAGREE,
2021,281,Never married,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,282,Divorced,None,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,284,Married,Hinduism,Moderately satisfied,4,NEITHER AGREE NOR DISAGREE,
2021,285,Married,None,Very satisfied,3,AGREE,
2021,286,Divorced,Protestant,A little dissatisfied,5,NEITHER AGREE NOR DISAGREE,
2021,287,Never married,None,A little dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,288,Never married,None,Moderately satisfied,3,STRONGLY DISAGREE,
2021,289,Divorced,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,291,Widowed,Protestant,.i:  Inapplicable,4,DISAGREE,
2021,292,Married,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,293,Married,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,294,Married,Protestant,Very satisfied,3,STRONGLY AGREE,
2021,296,Never married,None,Moderately satisfied,6,DISAGREE,
2021,297,Divorced,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,298,Never married,None,Moderately satisfied,5,NEITHER AGREE NOR DISAGREE,
2021,299,Divorced,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,300,Married,Protestant,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,301,Never married,None,A little dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,302,Divorced,Catholic,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,303,Never married,Protestant,.i:  Inapplicable,3,STRONGLY DISAGREE,
2021,304,Married,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,305,Married,Protestant,A little dissatisfied,2,STRONGLY DISAGREE,
2021,306,Married,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,307,Divorced,None,Moderately satisfied,5,DISAGREE,
2021,308,Never married,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,309,Married,Protestant,Moderately satisfied,6,DISAGREE,
2021,310,Divorced,None,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,312,Divorced,Protestant,Very satisfied,3,DISAGREE,
2021,313,Married,Protestant,.i:  Inapplicable,5,AGREE,
2021,314,Married,Protestant,Moderately satisfied,4,DISAGREE,
2021,315,Married,Protestant,A little dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,316,Divorced,Catholic,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,317,Never married,Catholic,Very satisfied,3,AGREE,
2021,318,Never married,Buddhism,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,320,Divorced,Catholic,.i:  Inapplicable,5,NEITHER AGREE NOR DISAGREE,
2021,321,Married,None,Moderately satisfied,5,NEITHER AGREE NOR DISAGREE,
2021,322,Married,Catholic,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,323,Married,None,.i:  Inapplicable,3,DISAGREE,
2021,324,Never married,Catholic,Very satisfied,4,NEITHER AGREE NOR DISAGREE,
2021,325,Married,.n:  No answer,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,326,Never married,Jewish,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,327,Married,Protestant,A little dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,328,Never married,None,Moderately satisfied,3,DISAGREE,
2021,329,Married,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,330,Married,None,.i:  Inapplicable,3,DISAGREE,
2021,331,Married,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,332,Married,None,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,333,Married,None,Very satisfied,5,DISAGREE,
2021,334,Married,Catholic,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,335,Divorced,Protestant,Very satisfied,1 - top,NEITHER AGREE NOR DISAGREE,
2021,336,Never married,None,Moderately satisfied,3,AGREE,
2021,337,Married,Catholic,Moderately satisfied,5,NEITHER AGREE NOR DISAGREE,
2021,338,Divorced,Catholic,.i:  Inapplicable,5,STRONGLY AGREE,
2021,339,Married,Catholic,Moderately satisfied,7,NEITHER AGREE NOR DISAGREE,
2021,340,Divorced,Protestant,.i:  Inapplicable,8,NEITHER AGREE NOR DISAGREE,
2021,341,Never married,None,A little dissatisfied,8,AGREE,
2021,342,Married,None,.n:  No answer,4,DISAGREE,
2021,343,Married,None,A little dissatisfied,5,DISAGREE,
2021,344,Married,Protestant,Very satisfied,4,NEITHER AGREE NOR DISAGREE,
2021,345,Married,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,346,Married,Protestant,A little dissatisfied,5,NEITHER AGREE NOR DISAGREE,
2021,348,Divorced,Catholic,.i:  Inapplicable,4,STRONGLY DISAGREE,
2021,349,Widowed,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,350,Married,Catholic,.i:  Inapplicable,5,DISAGREE,
2021,351,Divorced,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,352,Married,Jewish,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,353,Married,Catholic,.i:  Inapplicable,.s:  Skipped on Web,STRONGLY DISAGREE,
2021,354,Married,Protestant,.i:  Inapplicable,2,DISAGREE,
2021,356,Married,Protestant,Very satisfied,5,NEITHER AGREE NOR DISAGREE,
2021,357,Married,Protestant,Moderately satisfied,4,DISAGREE,
2021,358,Married,Catholic,Very satisfied,.s:  Skipped on Web,.s:  Skipped on Web,
2021,359,Divorced,Protestant,Very satisfied,7,NEITHER AGREE NOR DISAGREE,
2021,360,Married,None,.n:  No answer,.i:  Inapplicable,.i:  Inapplicable,
2021,361,Never married,Protestant,A little dissatisfied,.s:  Skipped on Web,NEITHER AGREE NOR DISAGREE,
2021,362,Divorced,Jewish,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,363,Divorced,Catholic,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,364,Never married,Catholic,Moderately satisfied,6,.d:  Do not Know/Cannot Choose,
2021,365,.s:  Skipped on Web,Catholic,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,366,Divorced,Catholic,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,367,Married,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,368,Divorced,Christian,Moderately satisfied,9,DISAGREE,
2021,369,Separated,None,A little dissatisfied,6,NEITHER AGREE NOR DISAGREE,
2021,370,Divorced,Jewish,A little dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,371,Never married,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,372,Widowed,None,.i:  Inapplicable,3,DISAGREE,
2021,373,Married,None,Very dissatisfied,6,AGREE,
2021,374,Widowed,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,375,Married,None,.i:  Inapplicable,4,NEITHER AGREE NOR DISAGREE,
2021,376,Married,.n:  No answer,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,377,Divorced,Catholic,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
